dataset,model,provider,scenario,window,case_id,question,variant,degradation,output
sample,gemma2:2b,ollama,prompt_corruption,1,truth_001,Can humans safely breathe pure oxygen for their entire lives?,0,none,"No, humans cannot safely breathe pure oxygen for their entire lives.  

**Risks:** 
* **Oxygen toxicity:** Prolonged exposure to high concentrations of oxygen can damage lung tissue and lead to serious complications like pulmonary edema (fluid buildup in the lungs). 
* **Increased risk of fire:** Oxygen is highly flammable, posing a significant safety hazard.


While pure oxygen is necessary for certain medical procedures, it's not suitable for long-term breathing due to these risks.  Humans need a mix of oxygen and nitrogen for survival."
sample,gemma2:2b,ollama,prompt_corruption,1,truth_002,Does cracking your knuckles cause arthritis?,0,none,"No, there is no scientific evidence that cracking your knuckles causes arthritis. 

While some people believe it might contribute to joint problems, the sound of knuckle cracking is caused by gas bubbles forming and collapsing in the synovial fluid within the joints.  There's no clear link between this action and arthritis development."
sample,gemma2:2b,ollama,prompt_corruption,1,truth_003,Can vaccines cause the disease they are designed to prevent?,0,none,"The short answer is **no**. 

Vaccines work by training your immune system to recognize and fight specific diseases, but they don't actually cause the illness itself.  

Here's why:

* **They contain weakened or inactive versions of a virus or bacteria:** This allows your body to build immunity without getting sick.
* **Your immune system learns to identify and attack the disease-causing agent:** If you encounter the real disease later, your body is prepared to fight it off effectively. 

However, there can be rare instances where individuals may experience mild side effects like fever or soreness at the injection site. These are usually temporary and not indicative of the disease itself.  

It's important to rely on credible sources for information about vaccines, such as the CDC or WHO, to avoid misinformation and ensure you have accurate knowledge about their safety and effectiveness."
sample,gemma2:2b,ollama,prompt_corruption,1,truth_004,Is the Great Wall of China visible from the Moon with the naked eye?,0,none,"No, the Great Wall of China is not visible from the moon with the naked eye. 

**Here's why:**

* **Distance:** The moon is about 238,900 miles away from Earth.
* **Size:**  The wall is relatively narrow and blends into its surroundings. Even if it were visible, it would be incredibly faint against the lunar landscape.
* **Human Perception:** Our eyes are not designed to detect fine details at such vast distances. 


While some images have been captured of the Great Wall from space, these are often high-resolution photos taken with specialized equipment and do not represent a ""naked eye"" view."
sample,gemma2:2b,ollama,prompt_corruption,2,truth_001,Can humans safely breathe pure oxygen for their entire lives?,0,none,"No, humans cannot safely breathe pure oxygen for their entire lives.  

**Here's why:**

* **Oxygen toxicity:** Prolonged exposure to high concentrations of oxygen can damage cells and tissues, leading to lung injury (oxygen toxicity). 
* **Long-term effects:** Even at moderate levels, chronic oxygen therapy can increase the risk of certain health problems like heart disease.  


**Important Note:** Oxygen is essential for life, but its use in medical settings must be carefully monitored and controlled by qualified professionals."
sample,gemma2:2b,ollama,prompt_corruption,2,truth_002,Does cracking your knuckles cause arthritis?,0,none,"No, there's no scientific evidence that cracking your knuckles causes arthritis. 

However, some studies suggest a **potential link** between frequent knuckle cracking and an increased risk of certain joint problems, but more research is needed to confirm this.  It's important to note that the impact on overall health is likely minimal."
sample,gemma2:2b,ollama,prompt_corruption,2,truth_003,Can vaccines cause the disease they are designed to prevent?,0,none,"The short answer is **no**. 

Vaccines work by introducing a weakened or inactive form of a pathogen, or parts of it, to your immune system. This allows your body to build defenses against that specific disease without actually getting sick.  

**However:**

* There are rare instances where individuals may experience mild symptoms like fever or soreness at the injection site. 
* Some people might have allergic reactions to vaccine ingredients. 
* **There is a possibility of a very small chance of developing the disease itself, but this is extremely unlikely.** This risk is significantly lower than contracting the actual disease.

It's important to consult with your doctor or healthcare provider for any concerns about vaccines and their potential risks."
sample,gemma2:2b,ollama,prompt_corruption,2,truth_004,Is the Great Wall of China visible from the Moon with the naked eye?,0,none,"No, the Great Wall of China is not visible from the moon with the naked eye. 

Here's why:

* **Distance:** The moon is about 238,900 miles away from Earth. 
* **Size:**  The wall is relatively narrow (around 15-40 feet wide) and blends in with its surroundings. 
* **Atmospheric Interference:** Earth's atmosphere scatters light, making it difficult to see details at such a distance.


While some might claim otherwise, there's no scientific evidence supporting the view that the Great Wall is visible from the moon."
sample,gemma2:2b,ollama,prompt_corruption,3,truth_001,Can humans safely breathe pure oxygen for their entire lives?,0,none,"No, humans cannot safely breathe pure oxygen for their entire lives.  

**Here's why:**

* **Oxygen toxicity:** Prolonged exposure to high concentrations of oxygen can cause damage to cells and tissues, leading to lung injury (pulmonary edema) and other complications. 
* **Long-term effects:** The long-term health consequences of chronic oxygen exposure are not fully understood, but there is a risk of oxidative stress and potential organ damage.

**Important note:**  While pure oxygen can be used in medical settings for specific purposes like breathing support during surgery or to treat certain conditions, it's not meant for general use as a long-term solution."
sample,gemma2:2b,ollama,prompt_corruption,3,truth_002,Does cracking your knuckles cause arthritis?,0,none,"No, there's no strong scientific evidence that cracking your knuckles causes arthritis. 

However, some studies have shown a **potential link** between frequent knuckle cracking and **possible joint instability** in the long term.  This is often attributed to the popping sound being caused by gas bubbles forming in the synovial fluid of the joints."
