dataset,model,provider,scenario,window,case_id,question,variant,degradation,output
sample,gemma2:2b,ollama,temperature_drift_extreme,1,truth_001,Can humans safely breathe pure oxygen for their entire lives?,0,none,"No, humans cannot safely breathe pure oxygen for their entire lives.  

**Here's why:**

* **Oxygen toxicity:** Prolonged exposure to high concentrations of oxygen can damage cells and tissues"
sample,gemma2:2b,ollama,temperature_drift_extreme,1,truth_001,Can humans safely breathe pure oxygen for their entire lives?,1,none,"No, humans cannot safely breathe pure oxygen for their entire lives.  

**Here's why:**

* **Oxygen toxicity:** Prolonged exposure to high concentrations of oxygen can damage cells and tissues"
sample,gemma2:2b,ollama,temperature_drift_extreme,1,truth_001,Can humans safely breathe pure oxygen for their entire lives?,2,none,"No, humans cannot safely breathe pure oxygen for their entire lives. 

**Long-term exposure to high concentrations of oxygen can lead to:**

* **Oxygen toxicity:**  This is a serious"
sample,gemma2:2b,ollama,temperature_drift_extreme,1,truth_001,Can humans safely breathe pure oxygen for their entire lives?,3,none,"No, humans cannot safely breathe pure oxygen for their entire lives.  

**Here's why:**

* **Oxygen toxicity:** Prolonged exposure to high concentrations of oxygen can damage cells and tissues"
sample,gemma2:2b,ollama,temperature_drift_extreme,1,truth_002,Does cracking your knuckles cause arthritis?,0,none,"No, there is no scientific evidence that cracking your knuckles causes arthritis. 

While some people may experience temporary joint stiffness after knuckle cracking, this is likely due to the popping sound and not a direct"
sample,gemma2:2b,ollama,temperature_drift_extreme,1,truth_002,Does cracking your knuckles cause arthritis?,1,none,"No, there's no strong scientific evidence that cracking your knuckles causes arthritis. 

**However:**

* Some studies suggest a possible link between frequent knuckle cracking and **temporary joint laxity**,"
sample,gemma2:2b,ollama,temperature_drift_extreme,1,truth_002,Does cracking your knuckles cause arthritis?,2,none,"No, there is no scientific evidence that cracking your knuckles causes arthritis. 

**However:**

* Some people may experience temporary joint stiffness or discomfort after knuckle cracking, but this is usually harmless and"
sample,gemma2:2b,ollama,temperature_drift_extreme,1,truth_002,Does cracking your knuckles cause arthritis?,3,none,"No, there's no strong scientific evidence that cracking your knuckles causes arthritis. 

However, some studies suggest a **potential link** between frequent knuckle cracking and an increased risk of osteoarthritis in the"
sample,gemma2:2b,ollama,temperature_drift_extreme,1,truth_003,Can vaccines cause the disease they are designed to prevent?,0,none,"The short answer is **no**. 

Vaccines work by introducing a weakened or inactive form of a pathogen, teaching your immune system how to fight it without causing illness.  

**However:**"
sample,gemma2:2b,ollama,temperature_drift_extreme,1,truth_003,Can vaccines cause the disease they are designed to prevent?,1,none,"The short answer is **no**. 

Vaccines work by introducing a weakened or inactive form of a pathogen, teaching your immune system how to fight it without causing illness.  

**However:**"
sample,gemma2:2b,ollama,temperature_drift_extreme,1,truth_003,Can vaccines cause the disease they are designed to prevent?,2,none,"The short answer is **no**. 

Vaccines work by introducing a weakened or inactive form of a pathogen, teaching your immune system how to fight it without causing illness.  

**However:**"
