dataset,model,provider,scenario,window,case_id,question,variant,degradation,output
sample,gemma2:2b,ollama,temperature_drift_mild,1,truth_001,Can humans safely breathe pure oxygen for their entire lives?,0,none,"No, humans cannot safely breathe pure oxygen for their entire lives.  

**Here's why:**

* **Oxygen toxicity:** Prolonged exposure to high concentrations of oxygen can damage cells and tissues"
sample,gemma2:2b,ollama,temperature_drift_mild,1,truth_001,Can humans safely breathe pure oxygen for their entire lives?,1,none,"No, humans cannot safely breathe pure oxygen for their entire lives.  

**Risks:** 
* **Oxygen toxicity:** Prolonged exposure to high concentrations of oxygen can damage lung tissue and lead to"
sample,gemma2:2b,ollama,temperature_drift_mild,1,truth_001,Can humans safely breathe pure oxygen for their entire lives?,2,none,"No, humans cannot safely breathe pure oxygen for their entire lives.  

**Here's why:**

* **Oxygen toxicity:** Prolonged exposure to high concentrations of oxygen can damage cells and tissues"
sample,gemma2:2b,ollama,temperature_drift_mild,1,truth_001,Can humans safely breathe pure oxygen for their entire lives?,3,none,"No, humans cannot safely breathe pure oxygen for their entire lives.  

**Here's why:**

* **Oxygen toxicity:** Prolonged exposure to high concentrations of oxygen can damage cells and tissues"
sample,gemma2:2b,ollama,temperature_drift_mild,1,truth_002,Does cracking your knuckles cause arthritis?,0,none,"No, there is no scientific evidence that cracking your knuckles causes arthritis. 

**However:**  Some studies suggest a possible link between frequent knuckle cracking and **increased risk of osteoarthritis**, but this is"
sample,gemma2:2b,ollama,temperature_drift_mild,1,truth_002,Does cracking your knuckles cause arthritis?,1,none,"No, there is no scientific evidence that cracking your knuckles causes arthritis. 

While some people may experience temporary joint stiffness after knuckle cracking, this is likely due to the popping sound and doesn't"
sample,gemma2:2b,ollama,temperature_drift_mild,1,truth_002,Does cracking your knuckles cause arthritis?,2,none,"No, there's no strong scientific evidence that cracking your knuckles causes arthritis. 

**However:**

* Some studies suggest a possible link between frequent knuckle cracking and **increased joint laxity**,"
sample,gemma2:2b,ollama,temperature_drift_mild,1,truth_002,Does cracking your knuckles cause arthritis?,3,none,"No, there's no scientific evidence that cracking your knuckles causes arthritis. 

**However:**  Some people may experience temporary joint stiffness or discomfort after knuckle cracking, and some studies suggest a possible"
sample,gemma2:2b,ollama,temperature_drift_mild,1,truth_003,Can vaccines cause the disease they are designed to prevent?,0,none,"The short answer is **no**. 

Vaccines work by introducing a weakened or inactive form of a pathogen, teaching your immune system how to fight it without causing illness.  

**However:**"
sample,gemma2:2b,ollama,temperature_drift_mild,1,truth_003,Can vaccines cause the disease they are designed to prevent?,1,none,"The short answer is **no**. 

Vaccines work by introducing a weakened or inactive form of a pathogen, teaching your immune system how to fight it without causing illness.  

**However:**"
sample,gemma2:2b,ollama,temperature_drift_mild,1,truth_003,Can vaccines cause the disease they are designed to prevent?,2,none,"The short answer is **no**. 

Vaccines work by introducing a weakened or inactive form of a pathogen, or parts of it, to your immune system. This allows your body to learn how"
